SST_table_2,cdom443_BL1_3,MLD_table_2,DOC_in_situ,DOC_estimated
19.3899995665997,0.00292371,81.5749858839656,66.04,65.36413
24.3999994546175,0.00635833,42.8454556339645,68.17,72.727615
19.3899995665997,0.0028304,81.5749858839656,67.21,65.393616
22.2199995033443,0.0012171,14.6995756531659,67.6,68.35761
20.3399995453656,0.00561372,37.0201790709022,69.01,68.90702
25.169999437406695,0.00495253,22.7720507813874,71.27,73.75799
14.0799996852875,0.019512,39.5945311594018,69.35,64.00296
15.5499996524304,0.00486012,53.57650708656361,67.72,58.54427
22.0099995080382,0.00224703,23.0350134935391,78.97,70.1237
22.419999498873896,0.00131429,48.3753820512386,69.89,69.68962
9.91999977827072,0.0158422,38.8488417751979,79.01,62.105804
20.479999542236303,0.00299327,50.3413934686878,69.24,68.02863
15.8799996450543,0.00527211,45.1730216318997,68.37,60.259026
26.9699993971735,0.00199306,39.0238909181293,74.46,75.72045
21.9899995084852,0.00739151,37.1661633260521,67.41,72.9022
22.419999498873896,0.00343954,16.4353944088247,64.5,68.53862
24.949999442324,0.0030471,23.6220121285077,66.595,72.08712
23.2999994792044,0.00125812,17.97046968603,68.45,69.567444
22.0299995075911,0.00197089,54.5651514072249,72.03,71.2954
26.9199993982911,0.00107822,53.324681885194906,79.29,80.08256
26.0599994175136,0.00346916,53.324681885194906,78.35,76.69603
15.199999660253502,0.00730835,11.2727463143202,77.98,60.52234
24.5099994521588,0.00240027,58.12686752799271,73.7,75.715935
17.8099996019155,0.0141299,162.148131749398,65.15,60.818058
17.719999603927103,0.00162174,19.16374494080161,59.2,63.33149
27.489999385550604,0.00968461,34.2584916405346,79.43,70.71023
25.6299994271249,0.00303697,53.324681885194906,78.33,76.59377
25.74999942444261,0.0001702,36.7675352214459,77.89,77.338196
21.899999510496897,0.00241624,13.1101162350133,67.8,67.60195
21.4199995212257,0.00877317,19.8493114026652,60.46,68.22026
19.30999956838789,0.00503672,43.39062143169471,65.21,66.21587
25.5999994277954,0.00818463,30.729206104348,75.13,73.79257
9.33999979123473,0.0270349,37.395306095617705,63.85,63.553413
