CHL_OC4_2,SST_table_2,cdom443_BL1_3,MLD_table_2,DOC_in_situ,DOC_estimated
0.0337437526207208,22.3599995002151,0.00306109,83.3442038537662,66.94,68.051895
0.0088342121928681,24.649999449029607,0.00250949,15.1785166199104,68.9,68.063774
0.0202591645576369,16.8999996222556,0.023321,31.216489188508397,73.7386,71.28806
0.2486847332503873,19.2999995686114,0.0498388,14.882467586863502,86.9,87.32376
0.0047761097687185,28.3399993665516,0.00189041,49.87289062145639,72.73,80.08901
0.0233370417032648,26.7899994011968,0.00226067,15.6709270725989,71.1,66.11179
0.0701467561822954,2.9899999331682903,0.0384923,30.51126325380909,53.17,56.91176
0.0101589732844723,20.3099995460361,0.00400133,28.8053762387341,69.43,67.07277
0.0151908950228014,22.4799994975328,0.00154326,19.8148255797775,63.32,67.18531
0.0095049666381898,29.9999993294477,0.0159915,32.4704184349305,66.91,64.9392
0.0129947893627677,21.349999522790306,0.00194101,42.1574264018516,74.47,69.1139
0.0151283083686092,20.7199995368719,0.00502727,21.8357624978648,63.9,68.03084
0.0122805540280155,28.3999993652105,0.00654578,28.6892409845471,58.39,72.21531
0.0106614449674486,22.5599994957447,0.00194048,44.5505038226639,68.15,71.30717
0.0102070804112042,24.5399994514883,0.00172605,74.9275867208864,69.328,77.653366
0.0144238154958424,9.239999793469911,0.0149357,16.2227106593138,61.81,58.98248
0.0263763258359703,16.8699996229261,0.0253840999999999,51.83359395468,74.0,73.90617
0.0062205808858022,20.9999995306134,0.000762494,18.2373608448463,57.9,63.404884
0.0052831059883385,26.4999994076788,0.00207666,36.7675352214459,78.59,74.278305
0.0037042394901716,17.9699995983392,0.00149582,19.1143261569003,60.6,59.68176
0.0131619411511583,29.839999333024,0.000739276,34.4918548804214,74.74,71.25809
0.0242212296360869,27.249999390914997,0.00204122,53.324681885194906,72.53,70.084625
0.0140946491021913,20.5699995402247,0.00640898,22.515360742472897,61.3,68.66188
0.0276988387714388,28.679999358952,0.00803816,37.4804203330646,60.66,63.22971
0.0352140400554983,19.3599995672703,0.0360136,28.441131326415896,59.29,61.31491
0.0110368213473105,21.1199995279312,0.00356122,50.3413934686878,73.9,69.34865
0.0100895005291447,21.5799995176494,0.0030249,64.97644427816671,70.02,72.18756
0.0079837735237929,18.699999582022397,0.00520671,43.5886085411373,56.2,63.121956
0.0151381950706186,19.179999571293603,0.00627502,53.11708258406429,60.5854,67.540794
0.0518260133646395,19.319999568164302,0.0241312,33.735789194955004,60.99353000000001,63.41344
0.0074061896429621,23.1199994832277,0.000674813,38.819109618258096,69.65,68.31476
0.0194977485874445,24.679999448359,0.00159292,21.7769527973087,66.75,69.94157
0.0022263552405892,17.719999603927103,0.00162174,19.16374494080161,59.2,59.023052
0.015205545734932,16.349999634549,0.0281272999999999,55.525770166532794,76.4088,74.73501
0.0061264156421469,22.339999500662103,0.00211142,44.604259845779886,67.59,67.455894
0.0154613438784786,5.74999987147748,0.0226123,14.9658816065799,49.6,57.157776
0.0079139057097708,27.4499993864447,0.00300051,14.4976881004535,81.2637,70.48478
0.0216374197772613,28.8699993547052,0.00534145,62.141740237601006,69.58,66.99289
0.0737042804429684,14.0799996852875,0.0220834,39.5945311594018,73.85,66.67131
0.0072753145897,23.5699994731694,0.00391654,61.5132151130976,76.79,75.33869
0.0066398456065492,25.6199994273484,0.0033556,58.12686752799271,78.16,79.00651
0.0098263174753161,29.529999339953108,0.00466828,27.0994171267917,72.7,71.17723
0.0087865280471422,23.9599994644523,0.00389895,9.8071027247474,67.2,66.293846
0.0202529185573682,28.7299993578345,0.00614472,49.2675435261005,62.39,67.41248
0.0136686541846381,15.5499996524304,0.00486012,53.57650708656361,67.72,58.701088
0.0157719860605589,26.7899994011968,0.00282584,15.6709270725989,51.9,69.745605
0.010846621877328,28.9299993533641,0.00235373,30.600549811487603,72.3,72.428604
0.0079323678013182,21.759999513626106,0.00295339,11.365354940552402,68.5,64.77285
0.0054132077953705,16.1899996381253,0.00622712,63.4441215581775,68.97,54.730694
0.0165118480898816,26.7899994011968,0.00284605,15.6709270725989,66.5,69.557655
0.0173846300662116,27.0299993958324,0.00189532,31.604793471670604,69.9,71.914085
0.0143514347594896,9.91999977827072,0.0161475,38.8488417751979,77.92,64.779274
0.0065484841122877,9.91999977827072,0.0156987,38.8488417751979,58.15,61.460773
0.006311942604421,21.459999520331603,0.000683051,16.998085390062197,68.1,63.792755
0.0157034592374185,27.659999381750804,0.00202429,27.6372765816624,72.1,70.80504
0.0111284559443084,24.5099994521588,0.0029936,44.6887273409188,67.8,76.21222
0.0160917633867461,21.9399995096028,0.00421893,50.0736374904941,63.61,74.74926
0.0319410026146594,27.489999385550604,0.00968461,34.2584916405346,79.43,65.53628
0.004471906752568,27.0599993951619,0.0026587,40.3044352651801,79.39,76.13591
0.0044275045131983,16.4999996311963,0.0162392,56.1440429263115,67.62,66.77344
0.029165427542928,14.5799996741116,0.0384006999999999,56.060980816961695,72.02,69.391655
0.0149898196528823,29.569999339059,0.00501097,26.325980015766696,72.86,67.885826
0.0310803106426953,21.8599995113909,0.0114001,26.687832149913397,74.3,69.046906
0.0180463740602057,25.74999942444261,0.0001702,36.7675352214459,77.89,73.13077
0.0109129063281479,26.28999941237269,0.0132887,32.7076777132426,71.67,72.57059
0.0049033483568119,19.8499995563179,0.00505562,56.4309649726931,62.8098,60.93138
0.0176322793602106,14.0799996852875,0.019512,39.5945311594018,69.35,70.926956
0.0272395379783753,14.7299996707588,0.0298272999999999,45.91271077539501,60.57,73.21489
0.0252323775599473,28.679999358952,0.00997014,59.565599600780295,61.01,62.986443
0.0189515856978083,19.86999955587089,0.00932665,182.622940107988,60.3,57.24495
0.0043447235104511,20.5899995397776,0.00332708,64.97644427816671,69.79,66.050186
0.0183318786967741,25.169999437406695,0.00495253,22.7720507813874,71.27,72.17851
0.0129791738464684,22.739999491721395,0.00172076,16.6217159769651,63.78,66.423355
0.0157952936079368,26.8299994003028,0.00126826,16.2326656498065,74.0,68.91441
0.0142618576475647,20.9199995324016,0.0023451,13.3914810626303,69.0,63.963543
0.0099001871738921,19.019999574869896,0.00999196,14.5338923183315,69.5,66.163445
0.0052578483401747,19.699999559670697,0.00348253,52.933976210533,67.42,59.949898
0.0219105178814821,20.5799995400012,0.00743324,33.339037778407395,66.43,74.440025
0.0084128586466999,16.4999996311963,0.0190548,56.1440429263115,66.67,70.32022
0.0053306320805364,22.3899994995445,0.00256459,23.0350134935391,77.22,66.45418
